Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,D_0805_2012Metric,-26.797,-16.653,180.0,top
C2,1u,D_0805_2012Metric,-26.773,-12.844,180.0,top
C3,1u,D_0805_2012Metric,-26.773,-18.558,180.0,top
C4,1u,D_0805_2012Metric,25.273,-11.591,180.0,top
C5,100n,D_0805_2012Metric,-8.509,-13.859,0.0,top
C6,100n,D_0805_2012Metric,3.937,-13.605,180.0,top
C7,47u,CP_Elec_10x10,51.562,-13.986,-90.0,top
C8,47u,CP_Elec_10x10,38.0,-14.0,-90.0,top
D1,SM4007PL,D_SOD-123F,-22.836,-19.448,0.0,top
D2,SM4007PL,D_SOD-123F,-22.836,-10.05,180.0,top
D3,LED,LED_0805_2012Metric,14.859,-12.843,90.0,top
F1,500 mA,Fuse_2920_7451Metric,51.562,-2.7885,90.0,top
F2,500 mA,Fuse_2920_7451Metric,38.0,-2.8025,90.0,top
Q1,BC846B,SOT-23,3.937,-16.526,90.0,top
Q2,BC846B,SOT-23,26.162,-14.621,90.0,top
Q3,BC856B,SOT-23,26.162,-18.431,0.0,top
Q4,30N06,TO-252-2,44.698,-1.912,90.0,top
R1,22k,R_0805_2012Metric,-11.303,-16.78,90.0,top
R2,22k,R_0805_2012Metric,1.143,-16.78,-90.0,top
R3,240,R_0805_2012Metric,-26.773,-10.939,0.0,top
R4,3k6,R_0805_2012Metric,-26.773,-14.749,180.0,top
R5,10k,R_0805_2012Metric,4.064,-19.574,0.0,top
R6,1k,R_0805_2012Metric,6.858,-18.685,-90.0,top
R7,10k,R_0805_2012Metric,12.065,-11.859,0.0,top
R8,10k,R_0805_2012Metric,12.065,-13.859,0.0,top
R9,47k,R_0805_2012Metric,19.05,-18.431,-90.0,top
R10,47k,R_0805_2012Metric,21.209,-16.399,90.0,top
R11,1k,R_0805_2012Metric,21.8675,-19.193,0.0,top
R12,100,R_1210_3225Metric,30.734,-14.494,90.0,top
R13,100,R_1210_3225Metric,51.562,34.5495,0.0,top
R14,100,R_1210_3225Metric,51.562,28.8345,0.0,top
R15,100,R_1210_3225Metric,51.562,23.1195,0.0,top
R16,100,R_1210_3225Metric,51.562,17.4045,0.0,top
R17,100,R_1210_3225Metric,51.562,11.6895,0.0,top
R18,100,R_1210_3225Metric,51.562,5.9745,0.0,top
R19,100,R_1210_3225Metric,38.0615,5.9605,180.0,top
R20,100,R_1210_3225Metric,38.0615,11.6755,180.0,top
R21,100,R_1210_3225Metric,38.0615,17.3905,180.0,top
R22,100,R_1210_3225Metric,38.0615,23.1055,180.0,top
R23,100,R_1210_3225Metric,38.0615,28.8205,180.0,top
R24,100,R_1210_3225Metric,38.0615,34.5355,180.0,top
R25,100,R_1210_3225Metric,51.562,68.755,0.0,top
R26,100,R_1210_3225Metric,51.562,63.04,0.0,top
R27,100,R_1210_3225Metric,51.562,57.325,0.0,top
R28,100,R_1210_3225Metric,51.562,51.61,0.0,top
R29,100,R_1210_3225Metric,51.562,45.895,0.0,top
R30,100,R_1210_3225Metric,51.562,40.18,0.0,top
R31,100,R_1210_3225Metric,38.0615,40.166,180.0,top
R32,100,R_1210_3225Metric,38.0615,45.881,180.0,top
R33,100,R_1210_3225Metric,38.0615,51.596,180.0,top
R34,100,R_1210_3225Metric,38.0615,57.311,180.0,top
R35,100,R_1210_3225Metric,38.0615,63.026,180.0,top
R36,100,R_1210_3225Metric,38.0615,68.741,180.0,top
R37,22k,R_0805_2012Metric,12.065,-9.795,180.0,top
RV1,100k,Potentiometer_Bourns_3296W_Vertical,-7.63,-17.669,180.0,top
U1,LM317_TO-252,TO-252-2,-19.475,-14.749,0.0,top
U2,LM393,SOIC-8_3.9x4.9mm_P1.27mm,14.097,-17.669,180.0,top
